pygame 2.0.0 (SDL 2.0.12, python 3.9.0)
Hello from the pygame community. https://www.pygame.org/contribute.html
         481881 function calls (477542 primitive calls) in 42.057 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     77/1    0.000    0.000   42.058   42.058 {built-in method builtins.exec}
        1    0.157    0.157   42.058   42.058 redvsblue.py:1(<module>)
     2861   32.434    0.011   32.434    0.011 {built-in method pygame.display.flip}
        1    0.000    0.000    5.697    5.697 redvsblue.py:35(__init__)
        2    0.000    0.000    5.697    2.848 sysfont.py:344(SysFont)
        1    0.000    0.000    5.695    5.695 sysfont.py:302(initsysfonts)
        1    0.000    0.000    5.695    5.695 sysfont.py:193(initsysfonts_darwin)
        1    0.004    0.004    5.695    5.695 sysfont.py:177(_system_profiler_darwin)
        1    0.000    0.000    5.638    5.638 subprocess.py:1086(communicate)
        1    0.000    0.000    5.638    5.638 subprocess.py:1924(_communicate)
       55    0.000    0.000    5.636    0.102 selectors.py:403(select)
       55    5.636    0.102    5.636    0.102 {method 'poll' of 'select.poll' objects}
     2863    1.019    0.000    1.019    0.000 {method 'fill' of 'pygame.Surface' objects}
     2862    0.893    0.000    0.893    0.000 {built-in method pygame.event.get}
    21380    0.824    0.000    0.824    0.000 {method 'blit' of 'pygame.Surface' objects}
        1    0.353    0.353    0.528    0.528 {built-in method pygame.display.set_mode}
    12797    0.020    0.000    0.426    0.000 redvsblue.py:21(draw)
     2861    0.003    0.000    0.287    0.000 redvsblue.py:13(draw)
     2861    0.020    0.000    0.225    0.000 redvsblue.py:51(drawhighscore)
    138/3    0.001    0.000    0.213    0.071 <frozen importlib._bootstrap>:1002(_find_and_load)
    138/3    0.000    0.000    0.213    0.071 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
    130/3    0.000    0.000    0.213    0.071 <frozen importlib._bootstrap>:659(_load_unlocked)
     75/3    0.000    0.000    0.213    0.071 <frozen importlib._bootstrap_external>:784(exec_module)
    182/3    0.000    0.000    0.212    0.071 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
        1    0.000    0.000    0.175    0.175 pkgdata.py:1(<module>)
        1    0.000    0.000    0.173    0.173 __init__.py:2(<module>)
        1    0.110    0.110    0.110    0.110 {built-in method pygame.base.quit}
     5722    0.110    0.000    0.110    0.000 {method 'render' of 'pygame.font.Font' objects}
        1    0.099    0.099    0.099    0.099 {built-in method pygame.base.init}
        2    0.000    0.000    0.090    0.045 __init__.py:3239(_call_aside)
        1    0.000    0.000    0.090    0.090 __init__.py:3256(_initialize_master_working_set)
       14    0.000    0.000    0.067    0.005 __init__.py:610(add_entry)
      298    0.001    0.000    0.064    0.000 __init__.py:2047(find_on_path)
    23575    0.020    0.000    0.064    0.000 redvsblue.py:28(draw)
    27/18    0.000    0.000    0.055    0.003 {built-in method builtins.__import__}
     2861    0.012    0.000    0.053    0.000 redvsblue.py:45(drawnormalscore)
        1    0.000    0.000    0.046    0.046 ElementTree.py:1334(XML)
        1    0.046    0.046    0.046    0.046 {method 'feed' of 'xml.etree.ElementTree.XMLParser' objects}
    23575    0.043    0.000    0.043    0.000 {built-in method pygame.draw.rect}
      364    0.001    0.000    0.037    0.000 re.py:289(_compile)
       75    0.000    0.000    0.036    0.000 re.py:250(compile)
       74    0.000    0.000    0.036    0.000 sre_compile.py:759(compile)
        1    0.000    0.000    0.036    0.036 __init__.py:21(<module>)
        1    0.000    0.000    0.034    0.034 __init__.py:568(_build_master)
        1    0.000    0.000    0.034    0.034 __init__.py:555(__init__)
        1    0.000    0.000    0.032    0.032 requirements.py:4(<module>)
      572    0.002    0.000    0.030    0.000 __init__.py:2137(distributions_from_metadata)
  306/303    0.004    0.000    0.028    0.000 {built-in method builtins.__build_class__}
  122/117    0.000    0.000    0.027    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
      526    0.005    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:1438(find_spec)
       12    0.000    0.000    0.025    0.002 __init__.py:2021(_by_version_descending)
       14    0.001    0.000    0.025    0.002 {built-in method builtins.sorted}
       74    0.000    0.000    0.025    0.000 sre_parse.py:937(parse)
    44/41    0.000    0.000    0.025    0.001 <frozen importlib._bootstrap_external>:1106(create_module)
    44/41    0.023    0.001    0.024    0.001 {built-in method _imp.create_dynamic}
   312/74    0.001    0.000    0.024    0.000 sre_parse.py:435(_parse_sub)
   467/80    0.008    0.000    0.024    0.000 sre_parse.py:493(_parse)
      143    0.000    0.000    0.024    0.000 __init__.py:3282(<genexpr>)
      142    0.000    0.000    0.023    0.000 __init__.py:2785(activate)
      8/6    0.000    0.000    0.021    0.004 <frozen importlib._bootstrap>:622(_load_backward_compatible)
        6    0.000    0.000    0.021    0.004 __init__.py:35(load_module)
     3023    0.020    0.000    0.020    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.018    0.018 pyparsing.py:26(<module>)
      226    0.000    0.000    0.017    0.000 __init__.py:2204(_handle_ns)
      142    0.000    0.000    0.016    0.000 __init__.py:2307(fixup_namespace_packages)
      286    0.000    0.000    0.016    0.000 __init__.py:2036(_by_version)
   100912    0.015    0.000    0.015    0.000 {method 'colliderect' of 'pygame.Rect' objects}
      286    0.001    0.000    0.015    0.000 __init__.py:2587(from_location)
      138    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap>:901(_find_spec)
      286    0.001    0.000    0.014    0.000 __init__.py:2042(<listcomp>)
      874    0.001    0.000    0.014    0.000 version.py:21(parse)
       75    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:856(get_code)
       26    0.000    0.000    0.013    0.001 pyparsing.py:2779(__init__)
      135    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1341(find_spec)
      135    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1309(_get_spec)
        1    0.000    0.000    0.013    0.013 parser.py:5(<module>)
     2004    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:80(_path_stat)
        1    0.000    0.000    0.012    0.012 feedparser.py:5(<module>)
      309    0.012    0.000    0.012    0.000 {built-in method posix.listdir}
     1176    0.005    0.000    0.011    0.000 version.py:217(__init__)
        1    0.000    0.000    0.011    0.011 _policybase.py:1(<module>)
       74    0.000    0.000    0.010    0.000 sre_compile.py:598(_code)
      286    0.000    0.000    0.010    0.000 __init__.py:2574(__init__)
     1652    0.002    0.000    0.009    0.000 __init__.py:2079(dist_factory)
   788/74    0.003    0.000    0.009    0.000 sre_compile.py:71(_compile)
        1    0.000    0.000    0.009    0.009 specifiers.py:4(<module>)
        1    0.000    0.000    0.009    0.009 sysfont.py:21(<module>)
