pygame 2.0.0 (SDL 2.0.12, python 3.9.0)
Hello from the pygame community. https://www.pygame.org/contribute.html
         4126509 function calls (4122176 primitive calls) in 31.177 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     78/1    0.000    0.000   31.177   31.177 {built-in method builtins.exec}
        1    0.004    0.004   31.177   31.177 lifegame.py:1(<module>)
        1    0.065    0.065   30.516   30.516 lifegame.py:74(run)
       20    1.149    0.057   30.300    1.515 lifegame.py:56(draw)
   400000   27.712    0.000   27.712    0.000 {method 'index' of 'list' objects}
   200000    0.117    0.000    1.062    0.000 lifegame.py:41(createcopy)
   210000    0.440    0.000    1.009    0.000 lifegame.py:14(__init__)
        1    0.350    0.350    0.518    0.518 {built-in method pygame.display.set_mode}
   210000    0.342    0.000    0.342    0.000 lifegame.py:16(<listcomp>)
    139/4    0.001    0.000    0.208    0.052 <frozen importlib._bootstrap>:1002(_find_and_load)
    139/4    0.000    0.000    0.208    0.052 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
    131/4    0.000    0.000    0.207    0.052 <frozen importlib._bootstrap>:659(_load_unlocked)
     76/4    0.000    0.000    0.207    0.052 <frozen importlib._bootstrap_external>:784(exec_module)
    183/4    0.000    0.000    0.206    0.052 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
   410000    0.185    0.000    0.185    0.000 {built-in method pygame.draw.rect}
        1    0.000    0.000    0.167    0.167 pkgdata.py:1(<module>)
        1    0.000    0.000    0.166    0.166 __init__.py:2(<module>)
   200000    0.063    0.000    0.147    0.000 lifegame.py:27(check)
  1800884    0.140    0.000    0.140    0.000 {method 'append' of 'list' objects}
   210000    0.112    0.000    0.112    0.000 lifegame.py:17(<listcomp>)
        1    0.098    0.098    0.098    0.098 {built-in method pygame.base.init}
   200000    0.093    0.000    0.093    0.000 lifegame.py:30(determine)
        2    0.000    0.000    0.084    0.042 __init__.py:3239(_call_aside)
        1    0.000    0.000    0.084    0.084 __init__.py:3256(_initialize_master_working_set)
        1    0.007    0.007    0.071    0.071 lifegame.py:45(__init__)
       14    0.000    0.000    0.063    0.004 __init__.py:610(add_entry)
      284    0.001    0.000    0.060    0.000 __init__.py:2047(find_on_path)
       20    0.058    0.003    0.058    0.003 {built-in method pygame.event.get}
    27/18    0.000    0.000    0.055    0.003 {built-in method builtins.__import__}
        1    0.000    0.000    0.037    0.037 __init__.py:21(<module>)
      350    0.001    0.000    0.036    0.000 re.py:289(_compile)
       75    0.000    0.000    0.035    0.000 re.py:250(compile)
       74    0.000    0.000    0.035    0.000 sre_compile.py:759(compile)
        1    0.000    0.000    0.033    0.033 __init__.py:568(_build_master)
        1    0.000    0.000    0.033    0.033 __init__.py:555(__init__)
        1    0.000    0.000    0.032    0.032 requirements.py:4(<module>)
      544    0.001    0.000    0.029    0.000 __init__.py:2137(distributions_from_metadata)
  304/301    0.004    0.000    0.028    0.000 {built-in method builtins.__build_class__}
  123/118    0.000    0.000    0.028    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
    44/41    0.000    0.000    0.026    0.001 <frozen importlib._bootstrap_external>:1106(create_module)
    44/41    0.024    0.001    0.026    0.001 {built-in method _imp.create_dynamic}
       74    0.000    0.000    0.024    0.000 sre_parse.py:937(parse)
      499    0.004    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:1438(find_spec)
   312/74    0.001    0.000    0.023    0.000 sre_parse.py:435(_parse_sub)
       12    0.000    0.000    0.023    0.002 __init__.py:2021(_by_version_descending)
       13    0.001    0.000    0.023    0.002 {built-in method builtins.sorted}
   467/80    0.008    0.000    0.023    0.000 sre_parse.py:493(_parse)
      8/6    0.000    0.000    0.021    0.004 <frozen importlib._bootstrap>:622(_load_backward_compatible)
        6    0.000    0.000    0.021    0.004 __init__.py:35(load_module)
      136    0.000    0.000    0.021    0.000 __init__.py:3282(<genexpr>)
      135    0.000    0.000    0.020    0.000 __init__.py:2785(activate)
     2836    0.018    0.000    0.018    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.018    0.018 pyparsing.py:26(<module>)
       20    0.017    0.001    0.017    0.001 {built-in method pygame.display.flip}
      201    0.000    0.000    0.015    0.000 __init__.py:2204(_handle_ns)
